ad_index,ad_id,ad_product,domain,subdomain,vague_query,product_id,user_search_query,ad_title,ad_description,url,seller,brand,label,image_id
10,3559261,COLOPLAST Pouch Ostomy Dm 1 Pc Cut to Fit #15821 (Pack of 20),Health & Personal Care,Ostomy Care,What are some reliable options for managing ostomy care needs?,4791425,colon cancer and colostomy bag,COLOPLAST Pouch Ostomy Dm 1 Pc Cut to Fit #15821 (Pack of 20),"Pouch Ostomy Dm 1 Pc Cut to Fit (#15821, Sold Per Box)",jet.com,Jet.com,Assura,0,[IMG_CATEID_3784]
11,3442060,"Simply Smart ZL10GB3 1 Gallon Ziploc Vacuum Sealer Bag Refills 10-count (Ziploc Bags Gal 10ct), Clear (Plastic)",Home & Kitchen,Food Storage & Organization,How can I keep my food fresh for longer periods without freezer burn?,4342839,ziploc vacuum bag refills quart,"Simply Smart ZL10GB3 1 Gallon Ziploc Vacuum Sealer Bag Refills 10-count (Ziploc Bags Gal 10ct), Clear (Plastic)","Works with other vacuum sealers Keeps food fresher longer Protects food from freezer burn Microwave safe 11"" x 14"" 1 gallon capacity 10-count Material: Plastic Assembly: Assembled Color: Clear Dimensions: 4.25 inches x 2.12 inches x 11.5 inches",overstock.com,Overstock.com,Smart,1,[IMG_CATEID_1037]
12,1035558,In the Flicker of an Eyelid in the Flicker of an Eyelid : A Novel a Novel,Books & Literature,Novels,Can you recommend a captivating novel to read?,4730838,flicker novel,In the Flicker of an Eyelid in the Flicker of an Eyelid : A Novel a Novel,IN THE FLICKER OF AN EYELID,walmart.com,Walmart,Jacques Stephen Alexis,0,[IMG_CATEID_1633]
13,1178812,"Vince High-Waist Wide-Leg Satin Pants, Black, 6",Fashion,Women's Clothing,Where can I find elegant high-waist wide-leg pants for a formal occasion?,425044,high waisted slacks for ladies,"Vince High-Waist Wide-Leg Satin Pants, Black, 6",Vince pants in Italian satin. High-waist; button tabs. Hidden hook-zip fly. Side slip pockets. Button-welt back pockets. Slim fit through wide legs. Viscose/acetate. Dry clean. Imported of Italian materials.,neimanmarcus.com,Neiman Marcus,Vince,1,[IMG_CATEID_385]
14,449929,Dooney & Bourke Ole Miss Hobo,Fashion & Accessories,Handbags,How can I stylishly show support for my favorite college team?,3749183,walmart online shopping,Dooney & Bourke Ole Miss Hobo,Dooney & Bourke Ole Miss Hobo. This chic hobo bag is a perfect way to show off your school spirit in style. The contrasting leather details give it a luxe look while the allover logo adds charming appeal.,pricegrabber.com,Belk,Dooney & Bourke,0,[IMG_CATEID_843]
15,374289,"Signed Zecharia Sitchin Book ""the Cosmic Code"" Hardcover Dustjacket",Books & Literature,Science Fiction & Fantasy,Where can I find unique or collectible books by famous authors in the science fiction genre?,3709957,zecharia sitchin books,"Signed Zecharia Sitchin Book ""the Cosmic Code"" Hardcover Dustjacket","The Cosmic Code: The Sixth Book of The Earth Chronicles Here's the personal story behind this signed volume ? A family member attended 3 Sitchin Studies Seminars: Santa Fe in 2000 (see photo of Mr Sitchin and seminar attendees), Philadelphia in 2001, and Chicago in 2002 (see photo of program). It was in Chicago that this book was personally signed by Mr Sitchin. See the descriptions below for more details. It is signed on the title page below the title.This hardcover has been on a shelf or in a storage box since then and essentially unopened, b/c the family member who attended the seminars had already read most of Mr Sitchin's books in paperback. The Cosmic Code: The Sixth Book of The Earth Chronicles Zecharia Sitchin Bear & Company Publishing Rochester, Vermont Bear & Company is a division of Inner Traditions International 1993, 2002 by Zecharia Sitchin ISBN 1-879181-87-8 Printed and bound in the United States by R.R. Donnelley 12 Chapters / 298 pages Epilogue Index B&W Illustrations Signed: ""To Paula! Z.",ebay.com,eBay,Bear Factory & Company,0,[IMG_CATEID_4277]
16,214754,Ray Ban Sunglasses Hexagonal Flat Lenses Unisex Gold Frame Brown Lenses 54-21,Fashion & Accessories,Eyewear,What are some stylish sunglasses options for both men and women?,3862134,ray ban hexagon sunglasses,Ray Ban Sunglasses Hexagonal Flat Lenses Unisex Gold Frame Brown Lenses 54-21,"What do you get when you cross a circle with a square? You get the hexagonal RB 3548N, the evolution of round featuring flat crystal lenses.Round has met flat, when it comes to lenses that is. This hexagonal round metal shape features thin coined profiles and flat crystal lenses on classic gold with extremely thin temples. Mix and match flash base colour options to create the perfect combination. Experience the thrill of wearing an updated classic that will never make you feel like a square peg in a round hole.",ray-ban.com,Ray-Ban,Ray Ban,1,[IMG_CATEID_283]
17,175043,"Bendy And The Ink Machine,Kids' Premium T-Shirt",Clothing & Accessories,Children's Apparel,Where can I find unique graphic tees for kids?,1472409,bendy and the ink machine,"Bendy And The Ink Machine,Kids' Premium T-Shirt","This Bendy and the Ink Machine Kids' Shirt is printed on a Kids' Premium T-Shirt and designed by Dream85. Available in many sizes and colors. Buy your own Kids' Shirt with a Bendy and the Ink Machine design at Spreadshirt. bendy, bendy and the ink machine, cartoon, chapter one, demo.",spreadshirt.com,Spreadshirt,Spreadshirt,1,[IMG_CATEID_2762]
18,465680,Baldwin 5225.ENTR Egg Style Keyed Entry Door Knob Set with Classic Rosette the E Distressed Oil Rubbed Bronze Knobset Single Cylinder,Home Improvement,Door Hardware,What are some elegant options for upgrading my home's door hardware?,959431,top notch locks,Baldwin 5225.ENTR Egg Style Keyed Entry Door Knob Set with Classic Rosette the E Distressed Oil Rubbed Bronze Knobset Single Cylinder,"Baldwin, 5225.ENTR, Keyed Entry, Egg, Knobset, Single Cylinder, Estate Collection Egg Style Keyed Entry Door Knob Set with the Classic Rosette and the Emergency Exit Function Baldwin's Egg knob's rounded profile reflects timeless elegance and beauty, and is sure to impress in any application. With its solid brass construction and availability in finishes both popular and exotic, this knob is both durable and matches a variety of decors. The quality of style and show. Baldwin Estate Collection tells people that you live to a higher standard. While meticulously detailed for architectural accuracy, this is no hollow beauty. Select from many other products and accessories in the collection to coordinate your entire home and hardware decor package. Features: Solid forged brass construction, built to last a lifetime Provided with an adjustable backset latch Features a concealed mounting system with no fasteners visible to accumulate dirt and debris Polished and finished by hand Available in a variety of finish options Specifications: Knob Height: 2.687 Knob Width: 1.625 Rosette Diameter: 2.62 Interior Projection: 3.22 Exterior Projection: 2.69 For configurations of Baldwin Estate products not found in our configuration options please contact our customer service representatives.",handlesets.com,HandleSets,Baldwin,0,[IMG_CATEID_258]
19,4257676,Apple iPhone 5/5S/SE Solid Dark Blue Phone Protector Case Cover,Electronics,Phone Accessories,How can I protect my smartphone while adding a touch of personal style?,2513203,iphone 5s on sale unlocked,Apple iPhone 5/5S/SE Solid Dark Blue Phone Protector Case Cover,Personalize and protect your phone with solid snap-on covers - Various color selections to enhance your phone - Openings in cover allow for normal phone functionality,cellphonecases.com,Cellphonecases.com,MyBat,1,[IMG_CATEID_500]
20,379035,Oxo Good Grips V-Blade Mandoline Slicer - White,Home & Kitchen,Kitchen Tools & Gadgets,What are some tools that can help me slice vegetables efficiently at home?,1849785,mandoline,Oxo Good Grips V-Blade Mandoline Slicer - White,"MandolineSharp, V-shaped blade of hardened stainless steel easily slices both firm vegetables like potatoes and soft fruits like tomatoes. Four easily adjustable slice thickness settings: 1.5mm, 3mm, 4.5mm and 6 mm. The Julienne blades for French fries or fine julienne strips. The straight, wavy and julienne blades conveniently store on board and remove for cleaning. Soft handle and turning knob for comfort and non-slip feet for safety. The textured runway keeps food from sticking. The food holder securely holds food and protects fingers. The Mandoline locks and feet fold in for safe and compact storage. The Mandoline body and food holder are dishwasher safe. Hand wash blades.",bloomingdales.com,Bloomingdale's,Oxo,1,[IMG_CATEID_943]
21,325222,Duravit DS8953 DuraStyle 55-3/4 x 31-1/8 Inch Panel for Corner Left for 700233000000090 Bathtub,Home & Garden,Bathroom Fixtures,What are some stylish options for upgrading my bathroom with modern fixtures?,3324281,3 person jacuzzi bathtubs,Duravit DS8953 DuraStyle 55-3/4 x 31-1/8 Inch Panel for Corner Left for 700233000000090 Bathtub,"Duravit DS8953 DuraStyle 55-3/4 x 31-1/8 Inch Panel for Corner Left for 700233000000090 Bathtub An understated ambience creates a sense of serenity, giving one a moment to breathe deep and relax. Like DuraStyle: designed by Matteo Thun & Partners, the bathroom series is deliberately understated - and therefore able to blend harmoniously into any environment. It is its simplicity of form that makes DuraStyle so unique: a narrow, elegant ceramic edge and the mixture of open and closed furniture units with different decor finishes and real wood for the furniture accessories defines that individuality. With Design, variety and an attractive price / performance ratio Durastyle sets a new standard in the bathroom, in the Home as well as in the Project area. Available Colors: Basalt Matte - 43 European Oak - 52 Chestnut Dark - 53 White Acrylic - 82 Additional information: The included support frame is required for the installation of the panel, Heights of DuraStyle series: Height bathtub panel = 21 7/8"", Height bathtub panel incl. 3/8"" shadow gap = 22 1/4"", overall height incl. 1 3/8"" bathtub rim = 23 5/8"", ** Heights of DuraStyle series: Height bathtub panel = 17 1/2"", Height bathtub panel incl. 5/8"" shadow gap = 18 1/2"", overall height incl. 3/4"" bathtub trim = 19 1/4"", *** Heights of DuraStyle series: Height bathtub panel = 26 3/4"", Height bathtub panel incl. 5/8"" shadow gap = 27 3/8"", overall height incl. 3/4"" bathtub trim = 28 1/8"" SKU: DS895304343 DS895305252 DS895305353 DS895308282",kbauthority.com,Kitchen & Bath Authority,Duravit,0,[IMG_CATEID_226]
22,2926581,T-Shirt | Brain Cancer Hope Shirt Tank Top Hoodie Gift Tee,Apparel & Accessories,Graphic Tees,Where can I find shirts that support health awareness causes?,778785,how do you get brain cancer,T-Shirt | Brain Cancer Hope Shirt Tank Top Hoodie Gift Tee,"This Brain Cancer Hope Shirt Tank Top Hoodie Gift Tee T-Shirt is printed on a Men's T-Shirt and designed by Artprinteeshop. Available in many sizes and colors. Buy your own T-Shirt with a Brain Cancer Hope Shirt Tank Top Hoodie Gift Tee design at Spreadshirt. Brain Cancer T-shirt, Brain Cancer Support, Aunt, Hope, Brain Cancer Shirt",spreadshirt.com,Spreadshirt US,Spreadshirt,0,[IMG_CATEID_411]
23,2056473,9 oz Stainless Steel Stemless Wine Glasses - 30 pcs ($8.95 each),Home & Kitchen,Drinkware,Where can I find customizable drinkware for promotional events?,2990949,9 oz stainless steel wine cups,9 oz Stainless Steel Stemless Wine Glasses - 30 pcs ($8.95 each),"30 Pcs Min - These custom stainless steel stemless wine glasses are great as giveaways and promotional products for restaurants, bars and clubs. Print your restaurant logo or design on the front of these custom tumblers or purchase them blank at low prices.",silkletter.com,SilkLetter,SilkLetter,1,[IMG_CATEID_3]
24,3543638,"Eyebolt,3/8-16,1/2In,Turned Wire Model: 11689 3",Industrial & Scientific,Fasteners,What are some reliable options for securing heavy loads in construction projects?,955267,worlds columbian exhibition chicago,"Eyebolt,3/8-16,1/2In,Turned Wire Model: 11689 3","Eyebolt, Turned Wire, Steel, Zinc Plated Finish, 3/8-16 In Thread Size, 2 1/2 In Thread Length, 3/8 In Shank Dia, 9 3/8 In Shank Length, 1/2 In Eye Inside Dia, 1 5/32 In Eye Outside Dia, 10 9/16 In Overall Length, Includes Hex Nut",grainger.com,Grainger,Grainger Approved,0,[IMG_CATEID_266]
25,4078657,Pink Hot Sale Rambler Coolers Tumbler Stainless Steel Cup Coffee Mug 30OZ,Home & Kitchen,Drinkware,What are some durable travel mugs for keeping beverages hot or cold?,1236828,pink yeti tumblers,Pink Hot Sale Rambler Coolers Tumbler Stainless Steel Cup Coffee Mug 30OZ,Pieces:1; Type:Travel Mugs; Shipping Weight(kg):0.49; Net Weight(kg):0.5; Listing Date:08/11/2016,lightinthebox.com,LightInTheBox,Lightinthebox,1,[IMG_CATEID_9]
26,5088,Amazon Echo Dot Smart Speaker With Alexa - Black,Electronics,Smart Home Devices,How can I integrate voice control into my home audio system?,2470163,alexa cost,Amazon Echo Dot Smart Speaker With Alexa - Black,"Echo Dot Is A Hands-Free, Voice-Controlled Device With A Small Built-In Speaker-it Can Also Connect To Your Speakers Or Headphones Over Bluetooth Or Through A 3.5 Mm Audio Cable To Deliver Stereo Sound To The Speakers You Choose. Dot Connects To The Alexa Voice Service To Play Music, Make Calls, Send And Receive Messages, Provide Information, News, Sports Scores, Weather, And More-instantly. Echo Dot Can Hear You From Across The Room, Even While Music Is Playing. When You Want To Use Echo Dot, Just Say The Wake Word Alexa. With Its Built-In Speaker, You Can Place Dot In The Bedroom And Use It As A Smart Alarm Clock That Can Also Turn Off Your Lights. Or Use Dot In The Kitchen To Easily Set Timers. Echo Dot Can Also Directly Connect To Speakers Using A 3.5 Mm Stereo Cable, Bluetooth, Or Wi-Fi For Compatible Wireless Speakers To Add Voice Control To Your Home Stereo System. With Echo Dot, You Can Talk To Almost Anyone Hands-Free. Use The Drop In Feature When You Want To Connect.",t-mobile.com,T-Mobile,Amazon,1,[IMG_CATEID_2208]
27,4074824,Abnormal Psychology,Education,Psychology Textbooks,What are some comprehensive resources for understanding mental health disorders and their treatments?,1926290,9780471127666,Abnormal Psychology,Updated To Include The Final Version Of Dsm-iv. Addresses Two Primary Questions - What Causes Psychopathology And Which Treatments Are Most Effective In Preventing Or Reducing Psychological Suffering. Uses Paradigms Or Points Of View To Study Abnormal Psychology: Biological Psychoanalytic Learning And Cognitive And Humanistic-existential.,textbookram.com,Textbook Ram,Wiley,0,[IMG_CATEID_468]
28,2220591,"2010 BMW X5 Diesel Injector, Bosch bosch oe replacement 0-444-021-013 BMW Diesel Injector",Automotive,Car Parts & Accessories,What are some reliable options for replacing diesel injectors in my vehicle?,3778256,bmw shark injector,"2010 BMW X5 Diesel Injector, Bosch bosch oe replacement 0-444-021-013 BMW Diesel Injector","2010 BMW X5 Diesel Injector, Bosch bosch oe replacement BOSCH OE REPLACEMENT DIESEL INJECTORS. Revive your drive with the sturdy design and dependable, OE-standard performance guaranteed by Bosch's OE replacement diesel injectors. Since 1886, Bosch has developed innovative products.including spark plugs, starters, brakes and steering system parts.for the automotive aftermarket. Precision-formed to ensure direct fit and dependable functionality Sturdily designed for enduring performance Vast range of import and domestic makes and models covered Has undergone systematic development and inspection to guarantee outstanding quality",jcwhitney.com,JC Whitney,Bosch,0,[IMG_CATEID_625]
29,4274358,Flight 001 Avionette Check In 26 Inch,Travel & Luggage,Suitcases,What features should I look for in a durable and convenient suitcase for frequent travel?,26495,cheap flights,Flight 001 Avionette Check In 26 Inch,Push button 3-stage trolley handle adjusts to different heights. 4-360 degree soft polypropylene wheels for silent rolling. Hidden add-a-bag strap. Two external quick-access zipped pockets. 16.5 X 9 X 26,ebates.com,shopebates,Flight 001,0,[IMG_CATEID_29]
30,2098737,Rediform EP100E81 I-IPal 2-in-1 iPad Case/Easel REDEP100E81,Electronics,Tablet Accessories,What are some versatile cases for tablets that offer both protection and functionality?,3165268,ipal,Rediform EP100E81 I-IPal 2-in-1 iPad Case/Easel REDEP100E81,"REDEP100E81 This iPad case transforms easily into an easel that allows multi-angle viewing. Elastic band and retaining corners fit and hold the iPad 2 (or iPad 3rd and 4th generation) in place. Folding cover protects your screen and secures with a magnetic closure. Design includes a camera hole so you'll always be ready for candid shots. Business-style, lizard-like material matches your favorite Rediform notebook.",theofficedealer.com,The Office Dealer,Blueline,1,[IMG_CATEID_4309]
31,183693,Miracle Sock Compression Sock White Xlarge,Health & Wellness,Compression Wear,What are some effective solutions for reducing leg swelling and improving circulation?,535656,iroha exfoliating foot socks,Miracle Sock Compression Sock White Xlarge,Miracle Socks White Xlarge Compression Garment,voltagesearch.com,Pricefalls,Miracle Socks,0,[IMG_CATEID_2813]
32,315330,"Dewalt Dcn701B Cordless Stapler,bare Tool,20.0 V",Tools & Home Improvement,Power Tools,What are some reliable cordless staplers for home projects?,108865,battery powered nail guns,"Dewalt Dcn701B Cordless Stapler,bare Tool,20.0 V","Cordless Stapler, Bare Tool, Voltage 20.0, Crown 1 In., Leg Length 1 In., Fastener Type Staples Only, Recommended Staples 1/4 In., Cordless Tool Battery Type Li-Ion, Series 20V MAX, Magazine Capacity 35, Magazine Loading Front, Battery Included No, Battery Pack Replacement 21RV46, Battery Capacity No, Depth Control Yes, Handle Type D Style, Triggering Mode Sequential, Length 7-3/4 In., Width 3 In., Height 12 In., Tool Weight 4.7 lb., Includes Belt Clip",zoro.com,Zoro.com,DEWALT,0,[IMG_CATEID_1510]
33,1897575,Toy Story 3 Buckaroo Game Hasbro Bullseye Preschool Complete Pixar,Toys & Games,Board Games,What are some fun board games for preschoolers that are based on popular movies?,235615,bullseye games,Toy Story 3 Buckaroo Game Hasbro Bullseye Preschool Complete Pixar,Buckaroo Game Toy Story Three. Condition is Used. Complete,ebay.com,eBay,Hasbro,0,[IMG_CATEID_1718]
34,463923,BMW 325i ACT B014 Component - Pressure Plate,Automotive,Car Parts & Accessories,What are some reliable parts to improve the performance of my older BMW?,1170235,sister act 2 back in the habit,BMW 325i ACT B014 Component - Pressure Plate,"2005 BMW 325i, 2004 BMW 325i, 2003 BMW 325i, 2002 BMW 325i, 2001 BMW 325i, 1995 BMW 325i, 1994 BMW 325i, 1993 BMW 325i, 1992 BMW 325i",autohance.com,AutoHance,ACT,0,[IMG_CATEID_628]
35,3304946,Trimble Slip-Fit Tub Spout With Diverter | Signature Hardware,Home Improvement,Bathroom Fixtures,What are some options for upgrading my shower fixtures?,3419943,tub spout with diverter,Trimble Slip-Fit Tub Spout With Diverter | Signature Hardware,This Trimble Slip-Fit Spout is an excellent choice for a custom shower update. | Trimble Slip-Fit Tub Spout With Diverter | Signature Hardware,adlucent.com,Signature Hardware,Signature Hardware,1,[IMG_CATEID_545]
36,1272739,"Three-Month Wall Calendar, 22 x 29, 2018",Office Supplies,Calendars,What are some effective tools for organizing my schedule and planning ahead?,817132,2017 calendar,"Three-Month Wall Calendar, 22 x 29, 2018","Three-month view with plenty of space for planning in the current month. Three months per page: large current month with ruled blocks, condensed past and future months. Federal holidays highlighted. Bonus page: six future months. Chipboard backing; white wirebound with hanging loop. Contemporary design with plenty of writing space. Printed on high-quality, recycled paper containing post-consumer recycled material.",bisonoffice.com,BisonOffice.com,AT-A-GLANCE,1,[IMG_CATEID_4511]
37,11411,Pedro Garcia Suede Wedge Booties 8 Brown,Fashion,Footwear,What are some stylish options for comfortable wedge booties?,1004203,pedro garcia shoes,Pedro Garcia Suede Wedge Booties 8 Brown,"Guaranteed Authentic! Pedro Garcia Brown suede Pedro Garcia platform wedge booties with round toes, covered heels, sharkstooth rubber outer soles and lace-up closures at uppers. Includes dust bag. Size not listed, estimated from measurements. Item - Ped23151",therealreal.com,The RealReal,Pedro Garcia,1,[IMG_CATEID_323]
38,626944,Duracell Ultra 12V SLA Sealed Lead Acid 9AH General Purpose Battery,Electronics,Batteries,What are some reliable options for long-lasting general-purpose batteries?,3521852,duracell agm 70,Duracell Ultra 12V SLA Sealed Lead Acid 9AH General Purpose Battery,Trusted Duracell Ultra power backed by a 12-month warranty,batteriesplus.com,Batteries Plus Bulbs,Duracell Ultra,1,[IMG_CATEID_3320]
39,376945,Us Air Force Usaf Integrity Service Excellence Challenge Coin,Collectibles & Memorabilia,Military Memorabilia,Where can I find unique military challenge coins for my collection?,4511351,medallian says intefrity service excellence us air force,Us Air Force Usaf Integrity Service Excellence Challenge Coin,Good used condition some wear. About 1 3/4 inch across.,ebay.com,eBay,Eagle Crest,0,[IMG_CATEID_427]
40,667077,"Realistic Brick Pattern Wallpaper, White, Sample, by American Wallpaper & Design",Home & Garden,Home Decor,How can I add a stylish touch to my living room walls without using paint?,1541608,white wallpaper designs,"Realistic Brick Pattern Wallpaper, White, Sample, by American Wallpaper & Design",Feel free to order a sample to match colors. Samples are 3' long. Samples are nonreturnable. Color: White.,dartsearch.net,Houzz Inc,American Wallpaper & Design,1,[IMG_CATEID_112]
41,4188768,Crystal Sauna LC200 Two People Luxury Infrared Sauna In Red Cedar Or Hemlock Wood,Health & Wellness,Home Saunas,What are some at-home solutions for a relaxing sauna experience?,3052450,steam saunas,Crystal Sauna LC200 Two People Luxury Infrared Sauna In Red Cedar Or Hemlock Wood,Crystal Sauna LC200 Two People Luxury Infrared Sauna In Red Cedar Or Hemlock Wood,bluebath.com,BlueBath.com,Crystal Sauna,1,[IMG_CATEID_1466]
42,659115,"Worthington Wide-Waistband Slim Pants, Black (Size: 18) - Womens > Pants > Slim Pants",Fashion & Apparel,Women's Pants,What are some stylish options for comfortable and versatile women's pants?,2680022,ladies elastic waist knit pants,"Worthington Wide-Waistband Slim Pants, Black (Size: 18) - Womens > Pants > Slim Pants","Fit: Slim Rise: Mid Rise Fabric Description: Woven Fabric Content: 56% Cotton, 29% Polyester, 10% Metallic, 5% Spandex Misses Long: 32"" Inseam Misses Short: 28"" inseam Misses Inseam: 30"" Care: Cold, Machine Wash, Tumble Dry Low Country of Origin: Imported",adlucent.com,JCPenney,WORTHINGTON,0,[IMG_CATEID_776]
